127.0.0.1 - - [29/Mar/2023:17:19:03 -0400] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:19:04 -0400] "GET /projectseries1/index.jsp HTTP/1.1" 200 22592
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:19:04 -0400] "GET /projectseries1/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:19:04 -0400] "GET /projectseries1/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:19:05 -0400] "GET /projectseries1/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:19:05 -0400] "GET /projectseries1/images/s2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:19:05 -0400] "GET /projectseries1/images/s1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:19:05 -0400] "GET /projectseries1/images/s3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:19:05 -0400] "GET /projectseries1/images/s4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:19:05 -0400] "GET /projectseries1/images/s5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:19:05 -0400] "GET /projectseries1/images/s6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:19:05 -0400] "GET /projectseries1/images/s7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:19:05 -0400] "GET /projectseries1/images/s8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:19:05 -0400] "GET /projectseries1/images/s9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:19:05 -0400] "GET /projectseries1/images/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:19:05 -0400] "GET /projectseries1/images/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:19:05 -0400] "GET /projectseries1/images/img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:19:05 -0400] "GET /projectseries1/images/banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:19:05 -0400] "GET /projectseries1/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:19:05 -0400] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:19:10 -0400] "GET /projectseries1/customer-login.jsp HTTP/1.1" 200 8306
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:19:43 -0400] "POST /projectseries1/CustomerController HTTP/1.1" 200 5680
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:19:43 -0400] "GET /projectseries1/image/revolt-164_6wVEHfI-unsplash.jpg HTTP/1.1" 200 2205406
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:19:43 -0400] "GET /projectseries1/image/jakob-owens-JzJSybPFb3s-unsplash.jpg HTTP/1.1" 200 542583
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:19:53 -0400] "GET /projectseries1/single-product.jsp?id=1 HTTP/1.1" 200 3438
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:21:58 -0400] "GET /projectseries1/customer-logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:21:58 -0400] "GET /projectseries1/index.jsp HTTP/1.1" 200 22592
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:22:27 -0400] "GET /projectseries1/index.jsp HTTP/1.1" 200 22592
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:22:27 -0400] "GET /projectseries1/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:22:27 -0400] "GET /projectseries1/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:22:27 -0400] "GET /projectseries1/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:22:27 -0400] "GET /projectseries1/images/s1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:22:27 -0400] "GET /projectseries1/images/s2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:22:27 -0400] "GET /projectseries1/images/s3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:22:27 -0400] "GET /projectseries1/images/s4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:22:27 -0400] "GET /projectseries1/images/s5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:22:27 -0400] "GET /projectseries1/images/s6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:22:27 -0400] "GET /projectseries1/images/s7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:22:27 -0400] "GET /projectseries1/images/s8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:22:27 -0400] "GET /projectseries1/images/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:22:27 -0400] "GET /projectseries1/images/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:22:27 -0400] "GET /projectseries1/images/img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:22:27 -0400] "GET /projectseries1/images/s9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:22:27 -0400] "GET /projectseries1/images/banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:22:27 -0400] "GET /projectseries1/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:22:28 -0400] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:22:30 -0400] "GET /projectseries1/customer-login.jsp HTTP/1.1" 200 8306
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:22:40 -0400] "POST /projectseries1/CustomerController HTTP/1.1" 200 5680
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:22:40 -0400] "GET /projectseries1/image/revolt-164_6wVEHfI-unsplash.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:22:40 -0400] "GET /projectseries1/image/jakob-owens-JzJSybPFb3s-unsplash.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:37:18 -0400] "POST /projectseries1/CustomerController HTTP/1.1" 200 5680
