127.0.0.1 - - [04/Apr/2023:16:57:03 -0400] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [04/Apr/2023:16:57:04 -0400] "GET /projectseries1/index.jsp HTTP/1.1" 200 22592
0:0:0:0:0:0:0:1 - - [04/Apr/2023:16:57:05 -0400] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [04/Apr/2023:16:57:10 -0400] "GET /projectseries1/customer-login.jsp HTTP/1.1" 200 8306
0:0:0:0:0:0:0:1 - - [04/Apr/2023:16:57:16 -0400] "POST /projectseries1/CustomerController HTTP/1.1" 200 5779
0:0:0:0:0:0:0:1 - - [04/Apr/2023:16:57:23 -0400] "GET /projectseries1/customer-cart.jsp HTTP/1.1" 200 5825
0:0:0:0:0:0:0:1 - - [04/Apr/2023:16:57:28 -0400] "POST /projectseries1/CartController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:16:57:29 -0400] "GET /projectseries1/customer-cart.jsp HTTP/1.1" 200 5825
0:0:0:0:0:0:0:1 - - [04/Apr/2023:16:57:31 -0400] "POST /projectseries1/CartController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:16:57:31 -0400] "GET /projectseries1/customer-cart.jsp HTTP/1.1" 200 5825
0:0:0:0:0:0:0:1 - - [04/Apr/2023:16:57:33 -0400] "POST /projectseries1/CartController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:16:57:33 -0400] "GET /projectseries1/customer-cart.jsp HTTP/1.1" 200 5824
0:0:0:0:0:0:0:1 - - [04/Apr/2023:16:57:38 -0400] "POST /projectseries1/CartController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:16:57:38 -0400] "GET /projectseries1/customer-cart.jsp HTTP/1.1" 200 5827
0:0:0:0:0:0:0:1 - - [04/Apr/2023:16:57:40 -0400] "POST /projectseries1/CartController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:16:57:40 -0400] "GET /projectseries1/customer-cart.jsp HTTP/1.1" 200 5825
0:0:0:0:0:0:0:1 - - [04/Apr/2023:16:57:44 -0400] "POST /projectseries1/pgRedirect.jsp HTTP/1.1" 500 4635
0:0:0:0:0:0:0:1 - - [04/Apr/2023:16:58:03 -0400] "GET /projectseries1/customer-logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:16:58:03 -0400] "GET /projectseries1/index.jsp HTTP/1.1" 200 22592
0:0:0:0:0:0:0:1 - - [04/Apr/2023:17:39:41 -0400] "GET /projectseries1/index.jsp HTTP/1.1" 200 22592
0:0:0:0:0:0:0:1 - - [04/Apr/2023:17:39:42 -0400] "GET /projectseries1/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:17:39:42 -0400] "GET /projectseries1/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:17:39:42 -0400] "GET /projectseries1/images/s2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:17:39:42 -0400] "GET /projectseries1/images/s3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:17:39:42 -0400] "GET /projectseries1/images/s1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:17:39:42 -0400] "GET /projectseries1/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:17:39:42 -0400] "GET /projectseries1/images/s4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:17:39:42 -0400] "GET /projectseries1/images/s5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:17:39:42 -0400] "GET /projectseries1/images/s6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:17:39:42 -0400] "GET /projectseries1/images/s7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:17:39:42 -0400] "GET /projectseries1/images/s8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:17:39:42 -0400] "GET /projectseries1/images/s9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:17:39:42 -0400] "GET /projectseries1/images/img1.jpg HTTP/1.1" 304 -
